date,orders,aov,revenue,customers
2021-01-31,1000,150,150000,800
2021-02-28,1030,152,156560,824
2021-03-31,1061,154,163394,849
2021-04-30,1093,156,170508,874
2021-05-31,1126,158,177908,901
2021-06-30,1159,160,185440,927
2021-07-31,1194,162,193428,955
2021-08-31,1229,164,201556,983
2021-09-30,1266,166,210156,1013
2021-10-31,1304,168,219072,1043
2021-11-30,1343,170,228310,1074
2021-12-31,1382,172,237704,1106
2022-01-31,1423,174,247602,1138
2022-02-28,1465,176,257840,1172
2022-03-31,1509,178,268602,1207
2022-04-30,1554,180,279720,1243
2022-05-31,1600,182,291200,1280
2022-06-30,1648,184,303232,1318
2022-07-31,1697,186,315642,1358
2022-08-31,1748,188,328624,1398
2022-09-30,1800,190,342000,1440
2022-10-31,1854,192,355968,1483
2022-11-30,1910,194,370540,1528
2022-12-31,1967,196,385532,1574
2023-01-31,2026,198,401148,1621
2023-02-28,2087,200,417400,1670
2023-03-31,2150,202,434300,1720
2023-04-30,2214,204,451656,1771
2023-05-31,2281,206,469986,1825
2023-06-30,2349,208,488592,1879
2023-07-31,2420,210,508200,1936
2023-08-31,2492,212,528304,1994
2023-09-30,2567,214,549338,2054
2023-10-31,2644,216,571104,2115
2023-11-30,2723,218,593614,2178
2023-12-31,2805,220,617100,2244
