date,closings,net_orders,gross_orders,cancellations,cancellation_rate,backlog,backlog_value,starts,specs,spec_ratio,asp,incentives,incentive_pct,net_asp,options_revenue,home_sales_revenue,total_revenue,revenue,active_communities,absorption_rate,closings_per_community,gross_margin,gross_profit_per_closing,land_cost_per_lot,construction_cost_per_home,lots_owned,years_supply,mortgage_rate,cycle_time
2022-01-31,50,78,85,7,0.082,278,119175000,55,17,0.3,428500,8570,0.02,419930,3213750,20996500,24210250,24210250,25,3.4,2.0,0.18,75586.4,85700,214250,1250,25.0,3.52,150
2022-02-28,56,82,89,7,0.079,304,130672000,62,19,0.3,429786,8596,0.02,421190,3608604,23586640,27195244,27195244,25,3.56,2.24,0.18,75814.4,85957,214893,1250,22.3,3.48,150
2022-03-31,61,91,98,7,0.071,334,144265200,67,20,0.3,431080,8622,0.02,422458,3943542,25769938,29713480,29713480,25,3.92,2.44,0.18,76054.4,86216,215540,1250,20.5,3.45,150
2022-04-30,67,105,113,8,0.071,372,161556800,74,22,0.3,432381,8648,0.02,423733,4348236,28390111,32738347,32738347,26,4.35,2.58,0.18,76284.6,86476,216190,1300,19.4,3.51,150
2022-05-31,74,114,122,8,0.066,412,179622100,81,24,0.3,433690,8674,0.02,425016,4813164,31451184,36264348,36264348,26,4.69,2.85,0.18,76528.8,86738,216845,1300,17.6,3.46,150
2022-06-30,82,121,130,9,0.069,451,196915400,90,27,0.3,435006,8700,0.02,426306,5358074,34957292,40315366,40315366,26,5.0,3.15,0.18,76761.2,87001,217503,1300,15.9,3.49,150
2022-07-31,90,128,138,10,0.072,489,214648900,99,30,0.3,436330,8727,0.02,427603,5895443,38484270,44379713,44379713,27,5.11,3.33,0.18,76998.6,87266,218165,1350,15.0,3.53,150
2022-08-31,98,132,142,10,0.070,523,230589200,108,32,0.3,437661,8753,0.02,428908,6437940,42033184,48471124,48471124,27,5.19,3.63,0.18,77241.8,87532,218831,1350,13.8,3.47,150
2022-09-30,105,138,148,10,0.068,556,246092600,116,35,0.3,439000,8780,0.02,430220,6919500,45173100,52092600,52092600,27,5.44,3.89,0.18,77484.0,87800,219500,1350,12.9,3.50,150
2022-10-31,111,126,136,10,0.074,571,254273900,122,37,0.3,445300,8906,0.02,436394,7425105,48439734,55864839,55864839,27,5.04,4.11,0.17,74223.4,89060,222650,1350,12.2,3.58,150
2022-11-30,114,125,136,11,0.081,582,261979400,125,38,0.3,450100,9002,0.02,441098,7701705,50285172,57986877,57986877,28,4.86,4.07,0.17,75076.4,90020,225050,1400,12.3,3.65,150
2022-12-31,116,117,128,11,0.086,583,264650200,128,38,0.3,454000,9080,0.02,444920,7908600,51610720,59519320,59519320,28,4.57,4.14,0.17,75694.0,90800,227000,1400,12.1,3.72,150
2023-01-31,117,98,108,10,0.093,564,258462400,129,39,0.3,458200,9746,0.021,448454,8052105,52469118,60521223,60521223,28,3.86,4.18,0.16,71229.4,96804,229100,1400,12.0,6.89,150
