date,new_customers,churned_customers,total_customers,arpu,mrr,revenue,churn_rate,cac
2021-01-31,50,30,1020,100,102000,102000,0.03,500
2021-02-28,51,31,1040,102,106080,106080,0.03,500
2021-03-31,52,31,1061,104,110344,110344,0.03,500
2021-04-30,52,32,1081,106,114586,114586,0.03,500
2021-05-31,53,32,1102,108,119016,119016,0.03,500
2021-06-30,54,33,1123,110,123530,123530,0.03,500
2021-07-31,55,34,1144,112,128128,128128,0.03,500
2021-08-31,55,34,1165,114,132810,132810,0.03,500
2021-09-30,56,35,1186,116,137576,137576,0.03,500
2021-10-31,57,36,1207,118,142426,142426,0.03,500
2021-11-30,58,36,1229,120,147480,147480,0.03,500
2021-12-31,58,37,1250,122,152500,152500,0.03,500
2022-01-31,59,38,1271,124,157604,157604,0.03,500
2022-02-28,60,38,1293,126,162918,162918,0.03,500
2022-03-31,61,39,1315,128,168320,168320,0.03,500
2022-04-30,61,39,1337,130,173810,173810,0.03,500
2022-05-31,62,40,1359,132,179388,179388,0.03,500
2022-06-30,63,41,1381,134,185054,185054,0.03,500
2022-07-31,64,41,1404,136,190944,190944,0.03,500
2022-08-31,64,42,1426,138,196788,196788,0.03,500
2022-09-30,65,43,1448,140,202720,202720,0.03,500
2022-10-31,66,43,1471,142,208882,208882,0.03,500
2022-11-30,67,44,1494,144,215136,215136,0.03,500
2022-12-31,67,45,1516,146,221336,221336,0.03,500
2023-01-31,68,45,1539,148,227772,227772,0.03,500
2023-02-28,69,46,1562,150,234300,234300,0.03,500
2023-03-31,70,47,1585,152,240920,240920,0.03,500
2023-04-30,70,48,1607,154,247478,247478,0.03,500
2023-05-31,71,48,1630,156,254280,254280,0.03,500
2023-06-30,72,49,1653,158,261174,261174,0.03,500
2023-07-31,73,50,1676,160,268160,268160,0.03,500
2023-08-31,73,50,1699,162,275238,275238,0.03,500
2023-09-30,74,51,1722,164,282408,282408,0.03,500
2023-10-31,75,52,1745,166,289670,289670,0.03,500
2023-11-30,76,52,1769,168,297192,297192,0.03,500
2023-12-31,76,53,1792,170,304640,304640,0.03,500
